2026-07-15 17:59:51,168 | INFO     | f3289a09-7b36-40ec-abc6-afbf4b1623a6 | circle-wallet-manager | middleware.py:32 | event=http_request method=GET path=/wallets/7 status=404 duration_ms=9.50 client=127.0.0.1
2026-07-15 17:59:56,871 | WARNING  | 3ae8035b-a6e4-40fd-8a22-5c1a07d0f321 | circle-wallet-manager | wallet_repository.py:76 | event=wallet_not_found wallet_id=8 owner_id=1
2026-07-15 17:59:56,886 | INFO     | 3ae8035b-a6e4-40fd-8a22-5c1a07d0f321 | circle-wallet-manager | middleware.py:32 | event=http_request method=GET path=/wallets/8 status=404 duration_ms=9.41 client=127.0.0.1
2026-07-15 18:00:04,380 | INFO     | 057a15d4-aacf-4b4d-86eb-2029029475ba | circle-wallet-manager | wallet_service.py:102 | event=list_wallets owner_id=1 count=3
2026-07-15 18:00:04,397 | INFO     | 057a15d4-aacf-4b4d-86eb-2029029475ba | circle-wallet-manager | middleware.py:32 | event=http_request method=GET path=/wallets status=200 duration_ms=9.77 client=127.0.0.1
2026-07-15 18:00:12,259 | INFO     | ce271bb6-f9a1-4c8b-99d3-4157a1d7a689 | circle-wallet-manager | wallet_service.py:123 | event=get_wallet id=20 owner_id=1 wallet_id=wallet_demo_user1
2026-07-15 18:00:12,261 | INFO     | ce271bb6-f9a1-4c8b-99d3-4157a1d7a689 | circle-wallet-manager | middleware.py:32 | event=http_request method=GET path=/wallets/20 status=200 duration_ms=9.32 client=127.0.0.1
2026-07-15 18:25:18,581 | INFO     | - | circle-wallet-manager | logger.py:89 | event=logger_initialized log_level=INFO
2026-07-15 18:25:21,929 | INFO     | - | circle-wallet-manager | logger.py:89 | event=logger_initialized log_level=INFO
2026-07-15 18:25:25,920 | INFO     | 62bd53ba-2a47-4f0a-8adf-2783a621300b | circle-wallet-manager | middleware.py:32 | event=http_request method=GET path=/docs status=200 duration_ms=3.94 client=127.0.0.1
2026-07-15 18:25:28,485 | INFO     | b07d1794-427a-476c-b20a-784d13be21f2 | circle-wallet-manager | middleware.py:32 | event=http_request method=GET path=/openapi.json status=200 duration_ms=177.05 client=127.0.0.1
2026-07-15 18:25:43,032 | INFO     | f506a859-505b-4d1d-95ff-8c9ff921254b | circle-wallet-manager | user_service.py:159 | event=login_start username=admin
2026-07-15 18:25:43,241 | INFO     | f506a859-505b-4d1d-95ff-8c9ff921254b | circle-wallet-manager | user_service.py:197 | event=login_success user_id=1 username=admin
2026-07-15 18:25:43,245 | INFO     | f506a859-505b-4d1d-95ff-8c9ff921254b | circle-wallet-manager | middleware.py:32 | event=http_request method=POST path=/auth/login status=200 duration_ms=229.52 client=127.0.0.1
2026-07-15 18:25:55,617 | INFO     | 0416ab71-8cc0-42f8-99b6-26b93d42cb3b | circle-wallet-manager | wallet_service.py:102 | event=list_wallets owner_id=1 count=3
2026-07-15 18:25:55,620 | INFO     | 0416ab71-8cc0-42f8-99b6-26b93d42cb3b | circle-wallet-manager | middleware.py:32 | event=http_request method=GET path=/wallets status=200 duration_ms=22.46 client=127.0.0.1
2026-07-15 18:26:08,671 | WARNING  | d9b71cee-2186-46e2-a9a7-8baa901f9459 | circle-wallet-manager | wallet_repository.py:76 | event=wallet_not_found wallet_id=1 owner_id=1
2026-07-15 18:26:08,687 | INFO     | d9b71cee-2186-46e2-a9a7-8baa901f9459 | circle-wallet-manager | middleware.py:32 | event=http_request method=GET path=/wallets/1 status=404 duration_ms=14.16 client=127.0.0.1
2026-07-15 18:26:16,919 | WARNING  | ca79622a-920a-4a0d-85ee-af808278635a | circle-wallet-manager | wallet_repository.py:76 | event=wallet_not_found wallet_id=21 owner_id=1
2026-07-15 18:26:16,922 | INFO     | ca79622a-920a-4a0d-85ee-af808278635a | circle-wallet-manager | middleware.py:32 | event=http_request method=GET path=/wallets/21 status=404 duration_ms=10.93 client=127.0.0.1
2026-07-15 18:26:24,626 | INFO     | cb06f795-2ea5-4b45-8c2b-b63624c54f48 | circle-wallet-manager | wallet_service.py:123 | event=get_wallet id=20 owner_id=1 wallet_id=wallet_demo_user1
2026-07-15 18:26:24,629 | INFO     | cb06f795-2ea5-4b45-8c2b-b63624c54f48 | circle-wallet-manager | middleware.py:32 | event=http_request method=GET path=/wallets/20 status=200 duration_ms=10.04 client=127.0.0.1
2026-07-15 18:26:46,907 | INFO     | 04a74e9c-821d-4adc-a56d-ff7bc36722a3 | circle-wallet-manager | middleware.py:32 | event=http_request method=GET path=/users/me status=200 duration_ms=23.90 client=127.0.0.1
2026-07-15 18:27:01,869 | INFO     | 2dfd5db9-60d5-40ba-8e6a-d08f9ed85408 | circle-wallet-manager | middleware.py:32 | event=http_request method=GET path=/users status=200 duration_ms=9.33 client=127.0.0.1
2026-07-15 18:27:14,241 | INFO     | 1142eae4-23f8-412f-b97b-7b3473e396cd | circle-wallet-manager | user_service.py:51 | event=get_user id=1
2026-07-15 18:27:14,244 | INFO     | 1142eae4-23f8-412f-b97b-7b3473e396cd | circle-wallet-manager | middleware.py:32 | event=http_request method=GET path=/users/1 status=200 duration_ms=9.00 client=127.0.0.1
2026-07-15 18:27:17,926 | INFO     | 52cad52e-55b1-45ca-b17b-4a813d369788 | circle-wallet-manager | user_service.py:51 | event=get_user id=2
